,Địa chỉ,Mức giá,Giá/m²,Số phòng ngủ,Huyện,Diện tích (m2),Số toilet,Nội thất,Latitude,Longitude,Đường
0,"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",4200.0,63.64,2,Quận 7,66.0,2,Cơ bản,10.7503509521484,106.723175048828,Nguyễn Văn Linh
1,"Dự án Lumiere Riverside, Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",6150.0,118.27,1,Quận 2,52.0,1,"Cơ bản nội thất cơ bản gồm: Hệ thống máy lạnh âm trần, tủ quần áo, bếp điện từ, lò nướng, máy hút mùi.",10.8042144775391,106.749519348145,Võ Nguyên Giáp
2,"Celadon City, N1, Sơn Kỳ, Tân Phú, Hồ Chí Minh",4500.0,52.94,2,Tân Phú,85.0,2,Đầy đủ,10.8034996643418,106.616514757059,N1
3,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",14400.0,142.57,3,Quận 2,101.0,2,Cơ bản.,10.8042144775391,106.749519348145,Xa Lộ Hà Nội
4,"Dự án Diamond Brilliant, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",5900.0,61.46,2,Tân Phú,96.0,2,Cơ bản.,10.803988456726074,106.61737060546876,N1
5,"Dự án Căn hộ Precia Quận 2, Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Hồ Chí Minh",4150.0,61.76,2,Quận 2,67.2,2,Đầy đủ,10.791279792785645,106.7550277709961,Nguyễn Thị Định
6,"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",7340.0,60.65,3,Tân Phú,121.0,3,Cơ bản,10.8039884567261,106.617370605469,N1
7,"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",7380.0,61.01,3,Tân Phú,121.0,3,Cơ bản,10.803988456726074,106.61737060546876,N1
8,"Vinhomes Golden River Ba Son, Số 2, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",9200.0,116.02,2,Quận 1,79.3,2,Đầy đủ,10.784106,106.70365,Nguyễn Văn Hưởng
9,"Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10590.0,65.97,4,Tân Phú,160.5,3,Đầy đủ,10.803988,106.61737,N1
